,Unnamed: 0,댓글
96,96,아ᆢ이게이런내용이였구나~재밌네요~
97,97,다시 기억 나신 영화를 리뷰로 재밌게 보셨다니 저도 기분이 참 좋네요😁😁😁  그리고 시청해주신 데 대해 찐감사드리고 싶고👍👍👍 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
98,98,돈내놔!! 라이터내놔!! ㅋㅋㅋ 너무 재밌네용 ㅎㅎ
99,99,네 재미진 상황이죠 ㅎㅎㅎ 리뷴 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
100,100,안녕
101,101,10:30 배고픈 찐빠가 나중에 공무원 셤에 합격하여 박과장이되고 마상길과 다정하게 짜장면을 때리면서 인생역전이 되는데...
102,102,ㅎㅎㅎ 낙원으로 이어지는 세계관이네요 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청도 해주시고 재밌는 댓글로 웃게해주시고 진심 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
103,103, @리뷰극장  이형은 AI인가?어떻게 모든 댓글에 다 답글을 달지?암튼 새해 복 많이 받으시고더 좋은 영상 부탁드립니다.
104,104, @프로보빨러  ㅎㅎㅎ 감사하고 또 유일한 소통창구라 생각해 답글하고 있습니다~^^ A.I 아닙니다에 체크 합니다 ㅎㅎㅎ 그리고 앞으로도 좋은 영화들 알차게 리뷰하도록 노력하겠습니다😁😁😁
105,105,오랜만에 영화를 봅니다♡ 새해맞이 첫영화 좋으네요^^ 이상하게 선생님이 올리면 두번세번 재미나게 보게되네요 ㅎㅎ 올한해도 행복한 만남 기대합니다♡♡♡
106,106,ㅎㅎㅎ 재밌게 보셨다니 저도 기분이 참 좋네요😁😁😁 그리고 또 방문시청해주셔서 진심 찐감사드리립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
107,107, @리뷰극장  네 선생님 올해 더욱 건강하시고 즐거운 일들 넘쳐나서 웃음복터지소서^^
108,108,명작 ㅋㅋ 진짜 소재 자체가 넘나 잼났는데 ㅎㅎ
109,109,네 아이디어도 좋고 참 재밌는 코믹띵작이죠 ㅎㅎㅎ 리뷰도 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
110,110,지금 이런영화가 나와야하는데ㅜㅜ
111,111,ㅎㅎㅎ 여러모로 이런 영화가 또 나오면 좋죠 ㅎㅎㅎ 그리고 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
112,112,돈을갖고튀어라랑같이 원래 좋아하던영화 10번넘게 봤는데 ㅋㅋㅋㅋ
113,113,돈을 갖고 튀어라도 참 재밌는 영화죠 ㅎㅎㅎ 반복시청하시는 라이터를 켜라 리뷰로 다시 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
114,114,ㅋㅋ 팀장님 이사건으로 개고생했다는데 잘 봤습니다 ㅋㅋ (진짜 아닌거 다들 아시죠?)
115,115,영화한편을 다보여주는 패기^^
116,116,네 최대한 알차게 리뷰하려고 하고 있습니다 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
117,117,감독님 연기잘하시네 ㅋㅋㅋ
118,118,네 출연욕심 가지실만 하시죠 ㅋㅋㅋ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
119,119,여기나온 배우분들 다성공했네 ㅋㅋㅋㅋ대배우로
120,120,네 다들 성공하셨죠 심지어 장항준 감독님도 유명셀럽이 되셨죠 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
121,121,진짜 재밌게 본 영화!
122,122,"마지막에 장항준?? 했는데, 엔딩 크레딧 올라갈 때 감독이 장항준.. ㅋㅋ장현성이 우정출연한거?이제와서 보니, 어마어마한 캐스팅였다는..."
123,123,네 지금 시점에서 보면 주연급만 최소 네명 이상이시죠 ㅎㅎㅎ 그리고 장현성 배우님은 우정출연이십니다 두 분이 많이 친하시죠😁😁😁 리뷰는 전체적으로 재밌게 보셨길 바라며 풀시청해주셔서 진심 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
124,124,"저 예비군이 조폭을 다 때려잡고 시민들을 구한 뒤, 방송출현으로 전국민이 알게 되면..? 유명인이 될테고.. 직장은 구했을라나ㅠ 그게 더 궁금하다ㅋㅋ"
